AVG(rendimiento),AVG(u_primera),AVG(u_segunda),COUNT(operario),f_inicio,f_fin,orden,u_primera,u_segunda,rendimiento
86.5,85,0,4,2022/05/12,2022/05/12,OTO2043600422E1,85,,86.5
96.89999999999999,10,0,9,2022/05/12,2022/05/12,OTO2071890522,10,,96.9
8026.300000000001,11,0,7,2022/05/12,2022/05/12,OTO2033620322,11,,8026.3
127,53,0,6,2022/05/12,2022/05/12,OTO2042690422E1,53,,127.0
37.9,10,0,9,2022/05/12,2022/05/12,OTO2006010222,10,,37.9
90.39999999999999,50,0,9,2022/05/12,2022/05/12,OTO2064060422,50,,90.4
56.5,10,0,9,2022/05/12,2022/05/12,OTO2071930522,10,,56.5
4,194,0,9,2022/05/12,2022/05/12,OTO2045410422,194,,4.0
126,36,0,6,2022/05/12,2022/05/12,OTO2071520522,36,,126.0
86.20000000000002,172,0,7,2022/05/12,2022/05/12,OTO2054790522,172,,86.2
77.3,12,0,9,2022/05/12,2022/05/12,OTO2072040522,12,,77.3
82.39999999999999,41,0,7,2022/05/12,2022/05/12,OTO2033620322,41,,82.4
33.9,2,0,2,2022/05/12,2022/05/12,OTO2061750422,2,,33.9
121.8,30,0,5,2022/05/12,2022/05/12,OTO2043620422E1,30,,121.8
65,24,0,2,2022/05/12,2022/05/12,OTO2065250422,24,,65.0
65.7,24,0,2,2022/05/12,2022/05/12,OTO2043620422E1,24,,65.7
50.199999999999996,36,0,8,2022/05/12,2022/05/12,OTO2071530522,36,,50.2
108.39999999999999,18,0,8,2022/05/12,2022/05/12,OTO2033610322,18,,108.4
117.60000000000001,27,0,8,2022/05/12,2022/05/12,OTO2071810522,27,,117.6
79.8,53,0,4,2022/05/12,2022/05/12,OTO2043240422E1,53,,79.8
30.5,2,0,9,2022/05/12,2022/05/12,OTO2072060522,2,,30.5
122.8,51,0,2,2022/05/12,2022/05/12,OTO2043220422E1,51,,122.8
84,25,0,2,2022/05/12,2022/05/12,OTO2043230422E1,25,,84.0
89.20000000000002,8,0,7,2022/05/12,2022/05/12,OTO2072110522,8,,89.2
117.5,62,0,6,2022/05/12,2022/05/12,OTO2043610422E1,62,,117.5
94.70000000000002,16,0,9,2022/05/12,2022/05/12,OTO2071910522,16,,94.7
87.29999999999998,71,0,7,2022/05/12,2022/05/12,OTO2053750522,71,,87.3
93.9,52,0,5,2022/05/12,2022/05/12,OTO2043240422E1,52,,93.9
86.29999999999998,8,0,9,2022/05/12,2022/05/12,OTO2072080522,8,,86.3
88.5,5,0,6,2022/05/12,2022/05/12,OTO2005810222,5,,88.5
68.2,87,0,9,2022/05/12,2022/05/12,OTO2033660322,87,,68.2
58.39999999999999,59,0,7,2022/05/12,2022/05/12,OTP2072650522,59,,58.4
81.39999999999999,12,0,7,2022/05/12,2022/05/12,OTO2062500422,12,,81.4
81.60000000000001,30,0,8,2022/05/12,2022/05/12,OTO2071460522,30,,81.6
43.7,2,0,1,2022/05/12,2022/05/12,OTO2061720422,2,,43.7
37.199999999999996,6,0,9,2022/05/12,2022/05/12,OTO2072070522,6,,37.2
58.4,97,0,4,2022/05/12,2022/05/12,OTO2065240422,97,,58.4
74,7,0,4,2022/05/12,2022/05/12,OTO2033670322,7,,74.0
86.70000000000002,8,0,7,2022/05/12,2022/05/12,OTO2062510422,8,,86.7
43.3,175,0,4,2022/05/12,2022/05/12,OTO2045350422,175,,43.3
66,100,0,9,2022/05/12,2022/05/13,OTO2064060422,100,,66.0
17.5,2,0,9,2022/05/12,2022/05/12,OTO2072230522,2,,17.5
86.89999999999999,2,0,9,2022/05/12,2022/05/12,OTO2072120522,2,,86.9
89.79999999999998,50,0,9,2022/05/12,2022/05/13,OTO2065360422,50,,89.8
58,4,0,9,2022/05/12,2022/05/12,OTO2071940522,4,,58.0
15.400000000000002,2,0,18,2022/05/12,2022/05/12,OTO2071920522,2,,15.4
0,0,0,11,2022/05/12,2022/05/13,OTO2064050422,,,0.0
170.20000000000002,4,0,9,2022/05/12,2022/05/12,OTO2072100522,4,,170.2
0,154,0,5,2022/05/12,2022/05/13,OTO2043230422E1,154,,0.0
113.7,85,0,6,2022/05/12,2022/05/12,OTO2042670422E1,85,,113.7
80.5,6,0,8,2022/05/12,2022/05/12,OTO2071780522,6,,80.5
64.60000000000001,4,0,7,2022/05/12,2022/05/12,OTO2072090522,4,,64.6
154.1,15,0,1,2022/05/12,2022/05/12,OTO2072330522P,15,,154.1
77.5,17,0,8,2022/05/12,2022/05/12,OTO2071790522,17,,77.5
89.3,260,0,6,2022/05/12,2022/05/12,OTO2064550422,260,,89.3
86.10000000000001,5,0,9,2022/05/12,2022/05/12,OTO2071990522,5,,86.1
100.70000000000002,8,0,7,2022/05/12,2022/05/12,OTO2072140522,8,,100.7
95.70000000000002,17,0,7,2022/05/12,2022/05/12,OTO2062540422,17,,95.7
101.79999999999998,100,0,7,2022/05/12,2022/05/12,OTO2054790522,100,,101.8
97.70000000000002,20,0,8,2022/05/12,2022/05/12,OTO2033620322,20,,97.7
273.59999999999997,30,0,7,2022/05/12,2022/05/12,OTP2033620322,30,,273.6
43.7,2,0,1,2022/05/12,2022/05/12,OTO2061760422,2,,43.7
106.79999999999998,9,0,9,2022/05/12,2022/05/12,OTO2071920522,9,,106.8
90.79999999999998,18,0,7,2022/05/12,2022/05/12,OTO2062550422,18,,90.8
41,24,0,10,2022/05/12,2022/05/12,OTO2071900522,24,,41.0
156.79999999999998,9,0,7,2022/05/12,2022/05/12,OTO2062530422,9,,156.8
